1.05,21,18
1.4,18,28
1.67,19,25
1.65,20,29
1.63,10,23
1.1,21,30
1.61,15,27
1.01,12,28
1.06,19,27
1.53,13,25
1.95,15,18
1.29,19,30
1.28,13,31
1.36,11,35
1.14,10,35
1.94,12,25
1.37,15,25
1.64,17,18
1.46,20,11
1.15,30,25
1.98,14,18
1.71,11,18
1.33,22,29
1.68,16,30
1.51,13,33
1.07,14,31
1.87,18,24
1.85,14,23
1.74,18,19
1.23,25,26
1.69,9,23
1.48,21,16
1.13,24,28
1.78,21,27
1.9,21,14
1.49,20,27
1.45,20,27
1.54,17,16
1.6,19,25
1.17,18,23
1.04,13,16
1.18,13,19
1.43,16,23
1.56,16,21
1.19,16,18
1.39,18,28
1.3,14,26
1.81,15,17
1.62,7,29
1.84,13,19
1.82,11,29
1.38,15,29
1.55,15,31
1.31,22,23
1.42,14,18
1.32,17,16
1.35,20,30
1.72,24,20
1.5,20,24
1.34,22,20
1.22,14,23
1.2,14,24
1.21,19,25
1.91,13,19
1.12,18,23
1.16,13,13
1.03,13,24
1.79,18,17
1.8,22,22
1.66,15,22
1.57,14,28
1.99,15,14
1.92,17,16
1.02,22,29
1.59,16,27
1.44,19,19
1.93,13,18
1.58,20,18
1.41,14,15
1.88,14,15
1.08,16,31
1.97,18,24
1.86,21,27
1.89,10,23
1.25,17,23
1.75,16,22
1.27,18,33
1.47,20,28
1.52,23,24
1.76,8,21
1.77,15,27
1.09,22,24
1.11,19,27
1.26,16,18
1.96,14,15
2.0,8,9
1.73,10,19
1.24,19,22
1.83,13,22
1.0,10,11
1.7,18,20
