1.05,18,21
1.4,28,18
1.67,25,19
1.65,29,20
1.63,23,10
1.1,30,21
1.61,27,15
1.01,28,12
1.06,27,19
1.53,25,13
1.95,18,15
1.29,30,19
1.28,31,13
1.36,35,11
1.14,35,10
1.94,25,12
1.37,25,15
1.64,18,17
1.46,11,20
1.15,25,30
1.98,18,14
1.71,18,11
1.33,29,22
1.68,30,16
1.51,33,13
1.07,31,14
1.87,24,18
1.85,23,14
1.74,19,18
1.23,26,25
1.69,23,9
1.48,16,21
1.13,28,24
1.78,27,21
1.9,14,21
1.49,27,20
1.45,27,20
1.54,16,17
1.6,25,19
1.17,23,18
1.04,16,13
1.18,19,13
1.43,23,16
1.56,21,16
1.19,18,16
1.39,28,18
1.3,26,14
1.81,17,15
1.62,29,7
1.84,19,13
1.82,29,11
1.38,29,15
1.55,31,15
1.31,23,22
1.42,18,14
1.32,16,17
1.35,30,20
1.72,20,24
1.5,24,20
1.34,20,22
1.22,23,14
1.2,24,14
1.21,25,19
1.91,19,13
1.12,23,18
1.16,13,13
1.03,24,13
1.79,17,18
1.8,22,22
1.66,22,15
1.57,28,14
1.99,14,15
1.92,16,17
1.02,29,22
1.59,27,16
1.44,19,19
1.93,18,13
1.58,18,20
1.41,15,14
1.88,15,14
1.08,31,16
1.97,24,18
1.86,27,21
1.89,23,10
1.25,23,17
1.75,22,16
1.27,33,18
1.47,28,20
1.52,24,23
1.76,21,8
1.77,27,15
1.09,24,22
1.11,27,19
1.26,18,16
1.96,15,14
2.0,9,8
1.73,19,10
1.24,22,19
1.83,22,13
1.0,11,10
1.7,20,18
